epoch_no,train_loss,train_classification_accuracy,train_f1,train_accuracy_global,train_precision_global,train_recall_global,train_f1_global,train_specificity_global,train_accuracy_per_class,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_specificity_per_class,train_accuracy_per_class_average,train_precision_per_class_average,train_recall_per_class_average,train_f1_per_class_average,train_specificity_per_class_average,train_accuracy_per_class_weighted,train_precision_per_class_weighted,train_recall_per_class_weighted,train_f1_per_class_weighted,train_specificity_per_class_weighted,train_mcc
0,1.0260201438268026,0.289452382872502,0.2819257024178902,0.3372681140899658,0.3372681140899658,0.3372681140899658,0.3372681140899658,0.6686340570449829,0.24242424964904785_0.19191919267177582_0.5786802172660828,0.4285714328289032_0.31147539615631104_0.3175487518310547,0.24242424964904785_0.19191919267177582_0.5786802172660828,0.3096774220466614_0.23749999701976776_0.4100719392299652,0.8379746675491333_0.7873417735099792_0.38131314516067505,0.3376745581626892,0.35253188014030457,0.3376745581626892,0.3190831243991852,0.6688765287399292,0.3372681140899658,0.3525908589363098,0.3372681140899658,0.31892967224121094,0.6693614721298218,0.0072197881527245045
1,0.9256606203317642,0.41425397058327995,0.4015689003964265,0.4816666543483734,0.4816666543483734,0.4816666543483734,0.4816666543483734,0.7408333420753479,0.11055276542901993_0.5544554591178894_0.7788944840431213,0.42307692766189575_0.43921568989753723_0.5290102362632751,0.11055276542901993_0.5544554591178894_0.7788944840431213,0.175298810005188_0.49015316367149353_0.630081295967102,0.9251870512962341_0.6407034993171692_0.6558603644371033,0.48130089044570923,0.4637676477432251,0.48130089044570923,0.43184441328048706,0.7405836582183838,0.4816666543483734,0.4636448621749878,0.4816666543483734,0.4321359694004059,0.7400842308998108,0.23917680978775024
2,0.9639178558190664,0.434000002493461,0.41416984505951404,0.5016722679138184,0.5016722679138184,0.5016722679138184,0.5016722679138184,0.7508361339569092,0.11940298229455948_0.6060606241226196_0.7839195728302002,0.5581395626068115_0.4580152630805969_0.532423198223114,0.11940298229455948_0.6060606241226196_0.7839195728302002,0.19672131538391113_0.52173912525177_0.6341463327407837,0.9521410465240479_0.6449999809265137_0.6566416025161743,0.5031276941299438,0.5161926746368408,0.5031276941299438,0.4508689045906067,0.7512608766555786,0.5016722679138184,0.5164302587509155,0.5016722679138184,0.44990041851997375,0.7521104216575623,0.2765375077724457
3,0.8567098548014959,0.5072328071296215,0.4985467715313037,0.569599986076355,0.569599986076355,0.569599986076355,0.569599986076355,0.7847999930381775,0.46341463923454285_0.5_0.7428571581840515,0.49738219380378723_0.46875_0.7428571581840515,0.46341463923454285_0.5_0.7428571581840515,0.47979798913002014_0.4838709533214569_0.7428571581840515,0.7714285850524902_0.7132530212402344_0.8698795437812805,0.5687572360038757,0.5696631073951721,0.5687572360038757,0.5688419938087463,0.7848536968231201,0.569599986076355,0.5702413320541382,0.569599986076355,0.5695543885231018,0.7849611043930054,0.35445210337638855
4,0.8493453792730967,0.50571428835392,0.4808871917674939,0.5913792848587036,0.5913792848587036,0.5913792848587036,0.5913792848587036,0.7956896424293518,0.8163265585899353_0.0520833320915699_0.9010416865348816,0.4938271641731262_0.8333333134651184_0.7090163826942444,0.8163265585899353_0.0520833320915699_0.9010416865348816,0.6153846383094788_0.09803921729326248_0.7935779690742493,0.5729166865348816_0.9948453903198242_0.8170102834701538,0.5898171663284302,0.6787256002426147,0.5898171663284302,0.50233393907547,0.7949241399765015,0.5913792848587036,0.67745041847229,0.5913792848587036,0.5031136274337769,0.7933930158615112,0.43966051936149597
5,0.8342017012834549,0.509047621935606,0.48561587606867157,0.5935919284820557,0.5935919284820557,0.5935919284820557,0.5935919284820557,0.7967959642410278,0.949999988079071_0.015228426083922386_0.8112244606018066,0.4622870981693268_0.375_0.9137930870056152,0.949999988079071_0.015228426083922386_0.8112244606018066,0.621931254863739_0.02926829271018505_0.8594594597816467,0.43765902519226074_0.9873737096786499_0.9622166156768799,0.5921509265899658,0.5836933851242065,0.5921509265899658,0.503553032875061,0.7957497835159302,0.5935919284820557,0.5825225114822388,0.5935919284820557,0.503551721572876,0.7936574220657349,0.4807034134864807
6,0.7694350371758143,0.5056111137072246,0.4872140245139599,0.614130437374115,0.614130437374115,0.614130437374115,0.614130437374115,0.8070651888847351,0.8453038930892944_0.06878306716680527_0.9505494236946106,0.5134228467941284_0.6499999761581421_0.7393162250518799,0.8453038930892944_0.06878306716680527_0.9505494236946106,0.6388309001922607_0.12440191209316254_0.8317307829856873,0.6091644167900085_0.9807162284851074_0.8351351618766785,0.6215454339981079,0.6342463493347168,0.6215454339981079,0.5316544771194458,0.8083386421203613,0.614130437374115,0.6346650123596191,0.614130437374115,0.5262959003448486,0.8108853697776794,0.4805178940296173
7,0.8140872754653294,0.576666669845581,0.5559608508398135,0.6546644568443298,0.6546644568443298,0.6546644568443298,0.6546644568443298,0.8273322582244873,0.8640776872634888_0.1306532621383667_0.9514563083648682,0.526627242565155_0.7222222089767456_0.8270041942596436,0.8640776872634888_0.1306532621383667_0.9514563083648682,0.654411792755127_0.22127659618854523_0.8848758339881897,0.604938268661499_0.9757281541824341_0.8987654447555542,0.6487290859222412,0.6919511556625366,0.6487290859222412,0.5868547558784485,0.8264772891998291,0.6546645164489746,0.6916044354438782,0.6546645164489746,0.5910429954528809,0.8247673511505127,0.5303224325180054
8,0.7287568364540736,0.5916111134489377,0.5807969170063734,0.6733212471008301,0.6733212471008301,0.6733212471008301,0.6733212471008301,0.836660623550415,0.8376963138580322_0.23428571224212646_0.9189189076423645,0.5442177057266235_0.611940324306488_0.8947368264198303,0.8376963138580322_0.23428571224212646_0.9189189076423645,0.6597937941551208_0.3388429880142212_0.9066666960716248,0.6277777552604675_0.9308510422706604_0.9453551769256592,0.6636336445808411,0.6836315989494324,0.6636336445808411,0.6351011395454407,0.8346613645553589,0.6733212471008301,0.6834145784378052,0.6733212471008301,0.6407467722892761,0.8306627869606018,0.5365029573440552
9,0.730801185965538,0.6041507963836193,0.598932544166843,0.6915739178657532,0.6915739178657532,0.6915739178657532,0.6915739178657532,0.845786988735199,0.5961538553237915_0.5188679099082947_0.9617224931716919,0.5933014154434204_0.6285714507102966_0.8204081654548645,0.5961538553237915_0.5188679099082947_0.9617224931716919,0.5947242379188538_0.5684754252433777_0.8854625821113586,0.7980997562408447_0.8441246747970581_0.8952381014823914,0.6922481060028076,0.6807603240013123,0.6922481060028076,0.6828874349594116,0.8458209037780762,0.6915738582611084,0.6806504726409912,0.6915738582611084,0.6824818849563599,0.845888614654541,0.5402773022651672
10,0.7828148770332336,0.5822222258647283,0.5850420684615771,0.6579378247261047,0.6579378247261047,0.6579378247261047,0.6579378247261047,0.82896888256073,0.421875_0.6454545259475708_0.8994975090026855,0.5704225301742554_0.5440613031387329_0.8605769276618958,0.421875_0.6454545259475708_0.8994975090026855,0.485029935836792_0.590436577796936_0.8796069025993347,0.8544152975082397_0.695652186870575_0.9296116232872009,0.6556090116500854,0.6583535671234131,0.6556090116500854,0.651691198348999,0.8265597224235535,0.65793776512146,0.6554327607154846,0.65793776512146,0.6514952182769775,0.8217412829399109,0.4877612590789795
11,0.7346757489442826,0.6350793680548668,0.630935302823782,0.7258567214012146,0.7258567214012146,0.7258567214012146,0.7258567214012146,0.8629283308982849,0.7272727489471436_0.4950980246067047_0.9403669834136963,0.6324110627174377_0.6312500238418579_0.8951964974403381,0.7272727489471436_0.4950980246067047_0.9403669834136963,0.6765327453613281_0.5549450516700745_0.9172259569168091,0.7796208262443542_0.8652967810630798_0.9433962106704712,0.7209125757217407,0.7196191549301147,0.7209125757217407,0.716234564781189,0.8627712726593018,0.7258566617965698,0.7212746143341064,0.7258566617965698,0.7196281552314758,0.8624571561813354,0.5909465551376343
12,0.6991766800483068,0.635611112912496,0.6285563527047634,0.7415329813957214,0.7415329813957214,0.7415329813957214,0.7415329813957214,0.8707664608955383,0.8041236996650696_0.4152046740055084_0.9642857313156128,0.6473029255867004_0.7319587469100952_0.847533643245697,0.8041236996650696_0.4152046740055084_0.9642857313156128,0.7172414064407349_0.5298507213592529_0.9021479487419128,0.7683923840522766_0.9333333373069763_0.9068493247032166,0.727871298789978,0.7422651052474976,0.727871298789978,0.7164133787155151,0.8695250153541565,0.7415329813957214,0.7430629134178162,0.7415329813957214,0.724724292755127,0.867042064666748,0.6211451292037964
13,0.711904773314794,0.6050992088019848,0.609451238811016,0.7237288355827332,0.7237288355827332,0.7237288355827332,0.7237288355827332,0.8618643879890442,0.6178010702133179_0.6451612710952759_0.9285714030265808,0.621052622795105_0.6334841847419739_0.9441340565681458,0.6178010702133179_0.6451612710952759_0.9285714030265808,0.6194225549697876_0.6392694115638733_0.9362881183624268,0.8195488452911377_0.7828418016433716_0.9754902124404907,0.7305111885070801,0.732890248298645,0.7305111885070801,0.731660008430481,0.8592935800552368,0.7237288355827332,0.7252873182296753,0.7237288355827332,0.7244671583175659,0.8541520833969116,0.5842076539993286
14,0.6933673131465912,0.6725476217269898,0.6777549175421397,0.7616000175476074,0.7616000175476074,0.7616000175476074,0.7616000175476074,0.8808000087738037,0.7475247383117676_0.5582524538040161_0.9677419066429138,0.6508620977401733_0.6927710771560669_0.9251101613044739,0.7475247383117676_0.5582524538040161_0.9677419066429138,0.695852518081665_0.6182795763015747_0.9459459185600281,0.8085106611251831_0.8782815933227539_0.9583333134651184,0.7578396797180176,0.7562477588653564,0.7578396797180176,0.753359317779541,0.8817085027694702,0.7616000175476074,0.7598942518234253,0.7616000175476074,0.7571169137954712,0.883525550365448,0.6454795598983765
15,0.6893640613555908,0.633222224911054,0.6274246790508429,0.7409836053848267,0.7409836053848267,0.7409836053848267,0.7409836053848267,0.8704918026924133,0.7644230723381042_0.5170731544494629_0.9492385983467102,0.6284584999084473_0.6838709712028503_0.9257425665855408,0.7644230723381042_0.5170731544494629_0.9492385983467102,0.6898047924041748_0.5888888835906982_0.9373433589935303,0.7661691308021545_0.8790123462677002_0.9636803865432739,0.7435782551765442,0.7460240125656128,0.7435782551765442,0.7386789917945862,0.869620680809021,0.7409836053848267,0.7430888414382935,0.7409836053848267,0.7358332276344299,0.8678781986236572,0.6169149279594421
16,0.6843665079275767,0.68753968556722,0.6860748339692752,0.769599974155426,0.769599974155426,0.769599974155426,0.769599974155426,0.8848000168800354,0.6796116232872009_0.6439024209976196_0.9766355156898499,0.699999988079071_0.6947368383407593_0.8893616795539856,0.6796116232872009_0.6439024209976196_0.9766355156898499,0.6896551847457886_0.6683544516563416_0.9309576749801636,0.8568019270896912_0.8619047403335571_0.9367396831512451,0.766716480255127,0.7613661885261536,0.766716480255127,0.7629890441894531,0.8851487636566162,0.7696000337600708,0.7631111145019531,0.7696000337600708,0.7652904987335205,0.8858463168144226,0.6549772620201111
17,0.6782391665379206,0.6639285744229952,0.6649901023507119,0.7633711695671082,0.7633711695671082,0.7633711695671082,0.7633711695671082,0.8816855549812317,0.7355769276618958_0.5735294222831726_0.9804878234863281,0.6800000071525574_0.692307710647583_0.9013453125953674,0.7355769276618958_0.5735294222831726_0.9804878234863281,0.7066974639892578_0.627345860004425_0.9392523169517517,0.8239609003067017_0.8740919828414917_0.946601927280426,0.7631980180740356,0.7578843832015991,0.7631980180740356,0.7577651739120483,0.8815516233444214,0.7633711099624634,0.7576119303703308,0.7633711099624634,0.7577282786369324,0.8812836408615112,0.6472740769386292
