Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415034880,27039064064,8.1,1895895040,
1,29415034880,26752991232,9.0,2182172672,
2,29415034880,26701590528,9.2,2233491456,
3,29415034880,26755289088,9.0,2179792896,
4,29415034880,26750603264,9.1,2184015872,
5,29415034880,26698911744,9.2,2236133376,
6,29415034880,26700632064,9.2,2234433536,
7,29415034880,26718580736,9.2,2216460288,
8,29415034880,26710347776,9.2,2224713728,
9,29415034880,26720141312,9.2,2214928384,
10,29415034880,26705125376,9.2,2229919744,
11,29415034880,26680860672,9.3,2254180352,
12,29415034880,26689867776,9.3,2245206016,
13,29415034880,26670407680,9.3,2264674304,
14,29415034880,26664947712,9.3,2270314496,
15,29415034880,26682990592,9.3,2252091392,
16,29415034880,26679779328,9.3,2255302656,
17,29415034880,26665291776,9.3,2269790208,
18,29415034880,26682834944,9.3,2251587584,
19,29415034880,26538049536,9.8,2396356608,
20,29415034880,26683977728,9.3,2250436608,
21,29415034880,26689892352,9.3,2244501504,
22,29415034880,26656423936,9.4,2278002688,
23,29415034880,26653331456,9.4,2281091072,
24,29415034880,26696814592,9.2,2237612032,
25,29415034880,26672709632,9.3,2261901312,
26,29415034880,26653380608,9.4,2280964096,
27,29415034880,26665037824,9.3,2269384704,
28,29415034880,26682474496,9.3,2251902976,
29,29415034880,26668003328,9.3,2266370048,
30,29415034880,26651758592,9.4,2282655744,
31,29415034880,26680958976,9.3,2253418496,
32,29415034880,26681405440,9.3,2253213696,
33,29415034880,26682806272,9.3,2251591680,
34,29415034880,26664353792,9.4,2270068736,
35,29415034880,26681888768,9.3,2252480512,
36,29415034880,26670055424,9.3,2264354816,
37,29415034880,26655670272,9.4,2278744064,
38,29415034880,26655363072,9.4,2279051264,
39,29415034880,26683535360,9.3,2250862592,
40,29415034880,26668376064,9.3,2266234880,
41,29415034880,26638639104,9.4,2295758848,
42,29415034880,26660102144,9.4,2274979840,
43,29415034880,26686734336,9.3,2247868416,
44,29415034880,26656243712,9.4,2278838272,
45,29415034880,26658275328,9.4,2276777984,
46,29415034880,26647654400,9.4,2287427584,
47,29415034880,26666029056,9.3,2269007872,
48,29415034880,26642743296,9.4,2292338688,
49,29415034880,26638757888,9.4,2296311808,
50,29415034880,26662309888,9.4,2272727040,
51,29415034880,26656497664,9.4,2277928960,
52,29415034880,26664595456,9.4,2270027776,
53,29415034880,26636201984,9.4,2298642432,
54,29415034880,26650918912,9.4,2284122112,
55,29415034880,26658283520,9.4,2276143104,
56,29415034880,26664206336,9.4,2270212096,
57,29415034880,26664288256,9.4,2270089216,
58,29415034880,26662699008,9.4,2271707136,
59,29415034880,26680045568,9.3,2254352384,
60,29415034880,26656292864,9.4,2278121472,
61,29415034880,26553880576,9.7,2380546048,
62,29415034880,26653306880,9.4,2281091072,
63,29415034880,26660810752,9.4,2273615872,
64,29415034880,26650484736,9.4,2283941888,
65,29415034880,26662309888,9.4,2272116736,
66,29415034880,26669875200,9.3,2264518656,
67,29415034880,26642808832,9.4,2291613696,
68,29415034880,26669019136,9.3,2265366528,
69,29415034880,26658549760,9.4,2275848192,
70,29415034880,26671046656,9.3,2263330816,
71,29415034880,26642395136,9.4,2292215808,
72,29415034880,26666123264,9.3,2268303360,
73,29415034880,26673762304,9.3,2260602880,
74,29415034880,26636075008,9.4,2298994688,
75,29415034880,26657435648,9.4,2276978688,
76,29415034880,26657357824,9.4,2277068800,
77,29415034880,26672181248,9.3,2262212608,
78,29415034880,26666610688,9.3,2267815936,
79,29415034880,26664046592,9.4,2270380032,
80,29415034880,26661474304,9.4,2272919552,
81,29415034880,26644475904,9.4,2290610176,
82,29415034880,26639650816,9.4,2295431168,
83,29415034880,26649612288,9.4,2284793856,
84,29415034880,26638180352,9.4,2296901632,
85,29415034880,26660036608,9.4,2274365440,
86,29415034880,26665951232,9.3,2268475392,
87,29415034880,26659840000,9.4,2274586624,
88,29415034880,26648948736,9.4,2286133248,
89,29415034880,26669051904,9.3,2265366528,
90,29415034880,26651934720,9.4,2282491904,
91,29415034880,26632589312,9.5,2302668800,
92,29415034880,26645958656,9.4,2288439296,
93,29415034880,26660749312,9.4,2273861632,
94,29415034880,26636640256,9.4,2297786368,
95,29415034880,26623823872,9.5,2311258112,
96,29415034880,26670469120,9.3,2263957504,
97,29415034880,26663059456,9.4,2271551488,
98,29415034880,26667573248,9.3,2266853376,
99,29415034880,26676981760,9.3,2257444864,
100,29415034880,26664984576,9.3,2269413376,
101,29415034880,26657316864,9.4,2277109760,
102,29415034880,26655961088,9.4,2278436864,
103,29415034880,26550267904,9.7,2384121856,
104,29415034880,26668617728,9.3,2265808896,
105,29415034880,26667200512,9.3,2267181056,
106,29415034880,26661945344,9.4,2272423936,
107,29415034880,26638376960,9.4,2296225792,
108,29415034880,26639892480,9.4,2294534144,
109,29415034880,26660130816,9.4,2274254848,
110,29415034880,26655424512,9.4,2278989824,
111,29415034880,26663235584,9.4,2271162368,
112,29415034880,26651811840,9.4,2282610688,
113,29415034880,26655977472,9.4,2278449152,
114,29415034880,26664251392,9.4,2270347264,
115,29415034880,26652409856,9.4,2282012672,
116,29415034880,26656378880,9.4,2278010880,
117,29415034880,26655539200,9.4,2278854656,
118,29415034880,26640596992,9.4,2293805056,
119,29415034880,26664562688,9.4,2269863936,
120,29415034880,26654273536,9.4,2280116224,
121,29415034880,26647355392,9.4,2287071232,
122,29415034880,26637123584,9.4,2297303040,
123,29415034880,26652356608,9.4,2282020864,
124,29415034880,26517303296,9.9,2417123328,
125,29415034880,26650345472,9.4,2284056576,
126,29415034880,26661695488,9.4,2272903168,
127,29415034880,26659450880,9.4,2274975744,
128,29415034880,26638401536,9.4,2295996416,
