Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415034880,26916499456,8.5,2014048256,
1,29415034880,26705125376,9.2,2230194176,
2,29415034880,26567405568,9.7,2367643648,
3,29415034880,26673983488,9.3,2261090304,
4,29415034880,26719600640,9.2,2215481344,
5,29415034880,26673438720,9.3,2261618688,
6,29415034880,26703159296,9.2,2231873536,
7,29415034880,26649931776,9.4,2285150208,
8,29415034880,26688679936,9.3,2246352896,
9,29415034880,26716835840,9.2,2218246144,
10,29415034880,26692755456,9.3,2242326528,
11,29415034880,26712502272,9.2,2222522368,
12,29415034880,26679787520,9.3,2255294464,
13,29415034880,26691330048,9.3,2243948544,
14,29415034880,26705952768,9.2,2229137408,
15,29415034880,26682089472,9.3,2253000704,
16,29415034880,26714198016,9.2,2220843008,
17,29415034880,26665656320,9.3,2269421568,
18,29415034880,26676424704,9.3,2258649088,
19,29415034880,26696314880,9.2,2238750720,
