Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415034880,26660278272,9.4,2274230272,
1,29415034880,26659774464,9.4,2274611200,
2,29415034880,26637414400,9.4,2297012224,
3,29415034880,26615128064,9.5,2319953920,
4,29415034880,26623496192,9.5,2310930432,
5,29415034880,26618019840,9.5,2316378112,
6,29415034880,26485530624,10.0,2448879616,
7,29415034880,26657927168,9.4,2276487168,
8,29415034880,26594738176,9.6,2339651584,
9,29415034880,26654011392,9.4,2281054208,
10,29415034880,26613653504,9.5,2321408000,
11,29415034880,26648039424,9.4,2287042560,
12,29415034880,26625294336,9.5,2309730304,
13,29415034880,26596483072,9.6,2338598912,
14,29415034880,26604924928,9.6,2330103808,
15,29415034880,26592792576,9.6,2341629952,
16,29415034880,26597703680,9.6,2336702464,
17,29415034880,26638585856,9.4,2295840768,
18,29415034880,26606174208,9.5,2328215552,
19,29415034880,26589724672,9.6,2345336832,
20,29415034880,26601635840,9.6,2333446144,
21,29415034880,26599583744,9.6,2335440896,
22,29415034880,26595168256,9.6,2339241984,
23,29415034880,26613506048,9.5,2320920576,
24,29415034880,26624376832,9.5,2310049792,
25,29415034880,26594705408,9.6,2339905536,
26,29415034880,26613669888,9.5,2320744448,
27,29415034880,26613985280,9.5,2320617472,
28,29415034880,26614145024,9.5,2320461824,
29,29415034880,26616680448,9.5,2317717504,
30,29415034880,26582097920,9.6,2352328704,
31,29415034880,26618339328,9.5,2316308480,
32,29415034880,26615611392,9.5,2318815232,
33,29415034880,26597556224,9.6,2336817152,
34,29415034880,26611712000,9.5,2322694144,
35,29415034880,26622832640,9.5,2311593984,
36,29415034880,26623631360,9.5,2310795264,
37,29415034880,26589818880,9.6,2344607744,
38,29415034880,26612559872,9.5,2322030592,
39,29415034880,26614218752,9.5,2320195584,
40,29415034880,26593247232,9.6,2341154816,
41,29415034880,26610290688,9.5,2324115456,
42,29415034880,26597740544,9.6,2336657408,
43,29415034880,26609889280,9.5,2324533248,
44,29415034880,26622132224,9.5,2312462336,
45,29415034880,26595999744,9.6,2338398208,
46,29415034880,26600468480,9.6,2333958144,
47,29415034880,26637324288,9.4,2297290752,
48,29415034880,26613964800,9.5,2320433152,
49,29415034880,26623553536,9.5,2310860800,
50,29415034880,26605965312,9.5,2328412160,
51,29415034880,26587373568,9.6,2347016192,
52,29415034880,26648367104,9.4,2286047232,
53,29415034880,26624819200,9.5,2309779456,
54,29415034880,26628411392,9.5,2306002944,
55,29415034880,26595663872,9.6,2338762752,
56,29415034880,26590834688,9.6,2343579648,
57,29415034880,26608668672,9.5,2325741568,
58,29415034880,26605096960,9.6,2329329664,
59,29415034880,26612924416,9.5,2321485824,
60,29415034880,26593292288,9.6,2341748736,
61,29415034880,26485030912,10.0,2449391616,
62,29415034880,26589245440,9.6,2345148416,
63,29415034880,26591739904,9.6,2343337984,
64,29415034880,26582786048,9.6,2352287744,
65,29415034880,26573377536,9.7,2361659392,
