epoch_no,train_loss,train_classification_accuracy,train_f1,train_accuracy_global,train_precision_global,train_recall_global,train_f1_global,train_specificity_global,train_accuracy_per_class,train_precision_per_class,train_recall_per_class,train_f1_per_class,train_specificity_per_class,train_accuracy_per_class_average,train_precision_per_class_average,train_recall_per_class_average,train_f1_per_class_average,train_specificity_per_class_average,train_accuracy_per_class_weighted,train_precision_per_class_weighted,train_recall_per_class_weighted,train_f1_per_class_weighted,train_specificity_per_class_weighted,train_mcc
0,0.7225486037135124,0.4035000026226044,0.277926410138607,0.4635416567325592,0.4637681245803833,0.5026177763938904,0.48241207003593445,0.42487046122550964,0.4635416567325592,0.4637681245803833,0.5026177763938904,0.48241207003593445,0.42487046122550964,0.4635416567325592,0.4637681245803833,0.5026177763938904,0.48241207003593445,0.42487046122550964,0.4635416567325592,0.4637681245803833,0.5026177763938904,0.48241207003593445,0.42487046122550964,-0.07273305207490921
1,0.6849197006225586,0.4405833362042904,0.4587857185304165,0.517808198928833,0.5029585957527161,0.9550561904907227,0.6589147448539734,0.10160427540540695,0.517808198928833,0.5029585957527161,0.9550561904907227,0.6589147448539734,0.10160427540540695,0.517808198928833,0.5029585957527161,0.9550561904907227,0.6589147448539734,0.10160427540540695,0.517808198928833,0.5029585957527161,0.9550561904907227,0.6589147448539734,0.10160427540540695,0.10821080207824707
2,0.6006024715304374,0.5286984157562256,0.3541269874572754,0.6080760359764099,0.6294416189193726,0.5740740895271301,0.6004842519760132,0.6439024209976196,0.6080760359764099,0.6294416189193726,0.5740740895271301,0.6004842519760132,0.6439024209976196,0.6080760359764099,0.6294416189193726,0.5740740895271301,0.6004842519760132,0.6439024209976196,0.6080760359764099,0.6294416189193726,0.5740740895271301,0.6004842519760132,0.6439024209976196,0.2183516025543213
3,0.678105428814888,0.43816667012870314,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0
4,0.6833032059669495,0.3935714309662581,0.0,0.49743589758872986,0.0,0.0,0.0,1.0,0.49743589758872986,0.0,0.0,0.0,1.0,0.49743589758872986,0.0,0.0,0.0,1.0,0.49743589758872986,0.0,0.0,0.0,1.0,-0.0005193603574298322
5,0.7316821184754372,0.4699523840099573,0.0,0.4953051507472992,0.0,0.0,0.0,1.0,0.4953051507472992,0.0,0.0,0.0,1.0,0.4953051507472992,0.0,0.0,0.0,1.0,0.4953051507472992,0.0,0.0,0.0,1.0,-0.0009099022136069834
6,0.6993446213006973,0.46945833660662173,0.0,0.5219399333000183,0.0,0.0,0.0,1.0,0.5219399333000183,0.0,0.0,0.0,1.0,0.5219399333000183,0.0,0.0,0.0,1.0,0.5219399333000183,0.0,0.0,0.0,1.0,0.004221533890813589
7,0.7110701045393943,0.40520238384604457,0.0,0.48533332347869873,0.0,0.0,0.0,1.0,0.48533332347869873,0.0,0.0,0.0,1.0,0.48533332347869873,0.0,0.0,0.0,1.0,0.48533332347869873,0.0,0.0,0.0,1.0,-0.003030837746337056
8,0.6640515393018722,0.3996904789656401,0.0,0.5051813721656799,0.0,0.0,0.0,1.0,0.5051813721656799,0.0,0.0,0.0,1.0,0.5051813721656799,0.0,0.0,0.0,1.0,0.5051813721656799,0.0,0.0,0.0,1.0,0.001054951106198132
9,0.7171703380346298,0.4385000026971102,0.0,0.49065420031547546,0.0,0.0,0.0,1.0,0.49065420031547546,0.0,0.0,0.0,1.0,0.49065420031547546,0.0,0.0,0.0,1.0,0.49065420031547546,0.0,0.0,0.0,1.0,-0.0018072997918352485
