Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415034880,26677895168,9.3,2256613376,
1,29415034880,26728468480,9.1,2206662656,
2,29415034880,26626621440,9.5,2308468736,
3,29415034880,26706358272,9.2,2228670464,
4,29415034880,26713309184,9.2,2221776896,
5,29415034880,26722062336,9.2,2212986880,
6,29415034880,26701107200,9.2,2233942016,
7,29415034880,26707668992,9.2,2227367936,
8,29415034880,26715283456,9.2,2219769856,
9,29415034880,26726764544,9.1,2208501760,
10,29415034880,26713796608,9.2,2221289472,
11,29415034880,26732720128,9.1,2202312704,
12,29415034880,26723913728,9.1,2211172352,
13,29415034880,26700070912,9.2,2234970112,
14,29415034880,26725224448,9.1,2209816576,
15,29415034880,26743881728,9.1,2191200256,
16,29415034880,26713423872,9.2,2221625344,
17,29415034880,26710839296,9.2,2224226304,
18,29415034880,26744705024,9.1,2190385152,
19,29415034880,26740568064,9.1,2194513920,
20,29415034880,26762301440,9.0,2172747776,
21,29415034880,26751049728,9.1,2184028160,
22,29415034880,26754846720,9.0,2180227072,
23,29415034880,26734133248,9.1,2200952832,
24,29415034880,26759098368,9.0,2175954944,
25,29415034880,26751774720,9.1,2183262208,
26,29415034880,26754187264,9.0,2180886528,
27,29415034880,26753200128,9.0,2181890048,
28,29415034880,26740183040,9.1,2194849792,
29,29415034880,26748682240,9.1,2186366976,
30,29415034880,26736934912,9.1,2198319104,
31,29415034880,26710716416,9.2,2224340992,
32,29415034880,26743263232,9.1,2191826944,
33,29415034880,26750386176,9.1,2184691712,
34,29415034880,26749464576,9.1,2185625600,
35,29415034880,26616512512,9.5,2318741504,
36,29415034880,26743234560,9.1,2191810560,
37,29415034880,26744832000,9.1,2190254080,
38,29415034880,26734751744,9.1,2200293376,
39,29415034880,26736242688,9.1,2198835200,
40,29415034880,26743476224,9.1,2191613952,
41,29415034880,26738716672,9.1,2196312064,
42,29415034880,26739961856,9.1,2195058688,
43,29415034880,26739847168,9.1,2195210240,
44,29415034880,26743701504,9.1,2191323136,
45,29415034880,26751696896,9.1,2183319552,
46,29415034880,26753847296,9.0,2181230592,
47,29415034880,26752004096,9.1,2183086080,
48,29415034880,26746171392,9.1,2189107200,
49,29415034880,26740899840,9.1,2194124800,
50,29415034880,26743107584,9.1,2191908864,
51,29415034880,26757287936,9.0,2177765376,
52,29415034880,26743042048,9.1,2192011264,
53,29415034880,26736738304,9.1,2198339584,
54,29415034880,26724741120,9.1,2210349056,
55,29415034880,26715082752,9.2,2219954176,
56,29415034880,26710835200,9.2,2224218112,
57,29415034880,26714820608,9.2,2220269568,
58,29415034880,26711363584,9.2,2223726592,
59,29415034880,26720108544,9.2,2214969344,
60,29415034880,26739052544,9.1,2196017152,
61,29415034880,26742865920,9.1,2192187392,
62,29415034880,26734473216,9.1,2200612864,
63,29415034880,26729582592,9.1,2205507584,
64,29415034880,26733617152,9.1,2201415680,
65,29415034880,26738806784,9.1,2196271104,
66,29415034880,26721140736,9.2,2213949440,
67,29415034880,26743128064,9.1,2191958016,
68,29415034880,26738462720,9.1,2196602880,
69,29415034880,26614145024,9.5,2320916480,
70,29415034880,26755149824,9.0,2180108288,
71,29415034880,26755121152,9.0,2179932160,
72,29415034880,26741653504,9.1,2193424384,
73,29415034880,26739716096,9.1,2195374080,
74,29415034880,26748051456,9.1,2186985472,
75,29415034880,26723901440,9.1,2211188736,
76,29415034880,26746433536,9.1,2188636160,
77,29415034880,26757009408,9.0,2178072576,
78,29415034880,26731171840,9.1,2203918336,
79,29415034880,26745184256,9.1,2189901824,
80,29415034880,26743373824,9.1,2191699968,
81,29415034880,26754859008,9.0,2180411392,
82,29415034880,26758885376,9.0,2176380928,
83,29415034880,26745745408,9.1,2189299712,
84,29415034880,26757079040,9.0,2178011136,
85,29415034880,26753953792,9.0,2181115904,
86,29415034880,26751885312,9.1,2183168000,
87,29415034880,26765316096,9.0,2169974784,
88,29415034880,26741846016,9.1,2193178624,
89,29415034880,26747015168,9.1,2188046336,
90,29415034880,26747957248,9.1,2187112448,
91,29415034880,26736549888,9.1,2198532096,
92,29415034880,26740744192,9.1,2194550784,
93,29415034880,26726281216,9.1,2208747520,
94,29415034880,26730041344,9.1,2205028352,
95,29415034880,26745069568,9.1,2189991936,
96,29415034880,26737004544,9.1,2198073344,
97,29415034880,26743300096,9.1,2191765504,
98,29415034880,26741768192,9.1,2193272832,
99,29415034880,26742173696,9.1,2192850944,
100,29415034880,26736230400,9.1,2198790144,
101,29415034880,26740019200,9.1,2195062784,
102,29415034880,26741882880,9.1,2193166336,
103,29415034880,26613452800,9.5,2321620992,
104,29415034880,26726330368,9.1,2208751616,
105,29415034880,26745872384,9.1,2189201408,
106,29415034880,26740174848,9.1,2194903040,
107,29415034880,26729115648,9.1,2205966336,
108,29415034880,26748583936,9.1,2186489856,
109,29415034880,26755887104,9.0,2179170304,
110,29415034880,26708221952,9.2,2226831360,
111,29415034880,26734096384,9.1,2200932352,
112,29415034880,26735595520,9.1,2199486464,
113,29415034880,26721767424,9.2,2213257216,
114,29415034880,26729070592,9.1,2206011392,
115,29415034880,26740936704,9.1,2194108416,
116,29415034880,26726703104,9.1,2208378880,
117,29415034880,26742304768,9.1,2192785408,
118,29415034880,26730864640,9.1,2204217344,
119,29415034880,26735865856,9.1,2199183360,
120,29415034880,26726555648,9.1,2208489472,
121,29415034880,26731593728,9.1,2203455488,
122,29415034880,26738098176,9.1,2196946944,
123,29415034880,26740547584,9.1,2194702336,
124,29415034880,26735071232,9.1,2199969792,
125,29415034880,26724876288,9.1,2210152448,
126,29415034880,26735669248,9.1,2199404544,
127,29415034880,26738937856,9.1,2196090880,
128,29415034880,26724388864,9.1,2210684928,
129,29415034880,26723479552,9.2,2211561472,
130,29415034880,26731474944,9.1,2203570176,
131,29415034880,26748964864,9.1,2186100736,
132,29415034880,26741305344,9.1,2193731584,
133,29415034880,26727682048,9.1,2207612928,
134,29415034880,26722295808,9.2,2212958208,
135,29415034880,26740060160,9.1,2195021824,
136,29415034880,26739408896,9.1,2195656704,
137,29415034880,26733731840,9.1,2201350144,
138,29415034880,26616197120,9.5,2319106048,
139,29415034880,26725818368,9.1,2209263616,
140,29415034880,26730160128,9.1,2204917760,
141,29415034880,26728861696,9.1,2206187520,
142,29415034880,26730262528,9.1,2204782592,
143,29415034880,26737807360,9.1,2197245952,
144,29415034880,26730954752,9.1,2204114944,
145,29415034880,26737807360,9.1,2197258240,
146,29415034880,26730459136,9.1,2204594176,
147,29415034880,26741055488,9.1,2194010112,
148,29415034880,26730262528,9.1,2205020160,
149,29415034880,26739441664,9.1,2195640320,
150,29415034880,26741739520,9.1,2193338368,
151,29415034880,26730782720,9.1,2204258304,
152,29415034880,26727964672,9.1,2207113216,
153,29415034880,26733051904,9.1,2201972736,
154,29415034880,26734989312,9.1,2200092672,
155,29415034880,26724802560,9.1,2210242560,
156,29415034880,26730360832,9.1,2204676096,
157,29415034880,26743431168,9.1,2191601664,
158,29415034880,26747363328,9.1,2187894784,
159,29415034880,26740600832,9.1,2194477056,
160,29415034880,26723340288,9.2,2211741696,
161,29415034880,26744934400,9.1,2190110720,
162,29415034880,26733195264,9.1,2201870336,
163,29415034880,26731593728,9.1,2203463680,
164,29415034880,26749009920,9.1,2186063872,
165,29415034880,26726666240,9.1,2208583680,
166,29415034880,26732322816,9.1,2202750976,
167,29415034880,26733756416,9.1,2201296896,
168,29415034880,26736877568,9.1,2198155264,
169,29415034880,26732523520,9.1,2202533888,
170,29415034880,26713149440,9.2,2222141440,
171,29415034880,26622210048,9.5,2312806400,
172,29415034880,26739912704,9.1,2195148800,
173,29415034880,26753617920,9.0,2181419008,
174,29415034880,26740719616,9.1,2194317312,
175,29415034880,26723958784,9.1,2211069952,
176,29415034880,26729021440,9.1,2206027776,
177,29415034880,26725064704,9.1,2209984512,
178,29415034880,26733469696,9.1,2201608192,
179,29415034880,26719899648,9.2,2215182336,
180,29415034880,26731327488,9.1,2203754496,
181,29415034880,26722885632,9.2,2212171776,
182,29415034880,26721177600,9.2,2213863424,
183,29415034880,26727931904,9.1,2207117312,
