Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
143,29415034880,26767597568,9.0,2167484416,
144,29415034880,26780155904,9.0,2154889216,
145,29415034880,26776887296,9.0,2158419968,
146,29415034880,26755887104,9.0,2179203072,
147,29415034880,26773438464,9.0,2161594368,
148,29415034880,26773278720,9.0,2161799168,
149,29415034880,26766680064,9.0,2168365056,
150,29415034880,26762256384,9.0,2172784640,
151,29415034880,26764550144,9.0,2170503168,
152,29415034880,26756075520,9.0,2178969600,
153,29415034880,26770264064,9.0,2164822016,
154,29415034880,26760523776,9.0,2174545920,
155,29415034880,26769498112,9.0,2165587968,
156,29415034880,26785095680,8.9,2149990400,
157,29415034880,26743934976,9.1,2191147008,
158,29415034880,26769453056,9.0,2165604352,
159,29415034880,26750066688,9.1,2185216000,
160,29415034880,26758795264,9.0,2176237568,
161,29415034880,26754170880,9.0,2180919296,
162,29415034880,26759184384,9.0,2175905792,
163,29415034880,26751328256,9.1,2183733248,
164,29415034880,26763722752,9.0,2171363328,
165,29415034880,26766626816,9.0,2168426496,
166,29415034880,26758938624,9.0,2176151552,
167,29415034880,26770116608,9.0,2164961280,
168,29415034880,26750685184,9.1,2184400896,
169,29415034880,26652999680,9.4,2282029056,
170,29415034880,26771914752,9.0,2163126272,
171,29415034880,26773536768,9.0,2161537024,
172,29415034880,26769747968,9.0,2165313536,
173,29415034880,26779807744,9.0,2155225088,
174,29415034880,26757943296,9.0,2177146880,
175,29415034880,26753236992,9.0,2181853184,
176,29415034880,26762874880,9.0,2172198912,
177,29415034880,26761371648,9.0,2173714432,
178,29415034880,26763968512,9.0,2171097088,
179,29415034880,26765967360,9.0,2169122816,
180,29415034880,26769690624,9.0,2165342208,
181,29415034880,26773954560,9.0,2161315840,
182,29415034880,26767597568,9.0,2167476224,
183,29415034880,26788171776,8.9,2146918400,
184,29415034880,26766581760,9.0,2168508416,
185,29415034880,26758524928,9.0,2176512000,
186,29415034880,26746433536,9.1,2188656640,
187,29415034880,26763685888,9.0,2171367424,
188,29415034880,26781904896,9.0,2153177088,
189,29415034880,26757017600,9.0,2178019328,
190,29415034880,26762895360,9.0,2172174336,
191,29415034880,26751062016,9.1,2184028160,
192,29415034880,26757324800,9.0,2177757184,
193,29415034880,26765893632,9.0,2169159680,
194,29415034880,26763857920,9.0,2171232256,
195,29415034880,26772271104,9.0,2162810880,
196,29415034880,26755305472,9.0,2179768320,
197,29415034880,26760253440,9.0,2174803968,
198,29415034880,26730098688,9.1,2204954624,
199,29415034880,26767319040,9.0,2167758848,
