Epoch,Memory_Total,Memory_Available,Memory_Percent_Free,Memory_Usage,
0,29415038976,27016929280,8.2,1917571072,
1,29415038976,26835918848,8.8,2099224576,
2,29415038976,26787225600,8.9,2147835904,
3,29415038976,26762608640,9.0,2172477440,
4,29415038976,26779729920,9.0,2155347968,
5,29415038976,26775441408,9.0,2159632384,
6,29415038976,26776526848,9.0,2158497792,
7,29415038976,26806480896,8.9,2128568320,
8,29415038976,26792992768,8.9,2142281728,
9,29415038976,26780094464,9.0,2154991616,
10,29415038976,26782117888,9.0,2152968192,
11,29415038976,26780782592,9.0,2154295296,
12,29415038976,26777247744,9.0,2157768704,
13,29415038976,26770440192,9.0,2164613120,
14,29415038976,26775994368,9.0,2159091712,
15,29415038976,26765287424,9.0,2169958400,
16,29415038976,26759929856,9.0,2175131648,
17,29415038976,26767695872,9.0,2167377920,
18,29415038976,26758422528,9.0,2176630784,
19,29415038976,26758402048,9.0,2176684032,
20,29415038976,26781548544,9.0,2153504768,
21,29415038976,26772971520,9.0,2162114560,
22,29415038976,26407931904,10.2,2527141888,
23,29415038976,26766123008,9.0,2168954880,
24,29415038976,26743713792,9.1,2191355904,
25,29415038976,26746613760,9.1,2188472320,
26,29415038976,26774425600,9.0,2160599040,
27,29415038976,26771288064,9.0,2163785728,
28,29415038976,26780700672,9.0,2154364928,
29,29415038976,26765529088,9.0,2169548800,
30,29415038976,26744070144,9.1,2191015936,
31,29415038976,26756870144,9.0,2178154496,
32,29415038976,26771652608,9.0,2163433472,
33,29415038976,26757509120,9.0,2177576960,
34,29415038976,26737397760,9.1,2197688320,
35,29415038976,26731343872,9.1,2203725824,
36,29415038976,26774581248,9.0,2160701440,
37,29415038976,26783969280,8.9,2151272448,
38,29415038976,26767867904,9.0,2167218176,
39,29415038976,26764587008,9.0,2170466304,
40,29415038976,26762014720,9.0,2173009920,
41,29415038976,26759897088,9.0,2175188992,
42,29415038976,26780467200,9.0,2154807296,
43,29415038976,26755690496,9.0,2179395584,
44,29415038976,26753351680,9.0,2181734400,
45,29415038976,26634899456,9.5,2300186624,
46,29415038976,26732867584,9.1,2202193920,
47,29415038976,26731069440,9.1,2204016640,
48,29415038976,26729627648,9.1,2205442048,
49,29415038976,26756542464,9.0,2178527232,
50,29415038976,26767380480,9.0,2167664640,
51,29415038976,26770214912,9.0,2164826112,
52,29415038976,26765172736,9.0,2169913344,
53,29415038976,26753863680,9.0,2181419008,
54,29415038976,26753941504,9.0,2181148672,
55,29415038976,26777681920,9.0,2157342720,
56,29415038976,26734477312,9.1,2200596480,
